Date,Country,News Type,Article,Fact-Checked by
5/26/2020, Belgium,No Evidence:,A predisposition to dementia increase the risk of a severe course of COVID-19., Factcheck.Vlaanderen
5/26/2020, Colombia,FALSE,"Mixing aspirin, paracetamol, honey and lemon cures COVID-19.", Colombiacheck
5/26/2020, Philippines,FALSE,"The Department of Social Welfare and Development (DSWD) in the Philippines is giving away P5,500 for every Facebook user due to the coronavirus crisis, according to a website link posted on Facebook.", Rappler
5/26/2020, United States,FALSE,"Italy “went against the WHO’s ‘law’” against COVID-19 autopsies and “discovered covid is not a virus, but a bacterium” that “clots the blood and reduces the oxygen saturation.”", PolitiFact
5/26/2020, India,FALSE,"Video of Migrant workers escaping from a train carrying them to Assam in Nagaon, India by stopping the train.", FactCrescendo
5/26/2020, Brazil,FALSE,Man is buried alive in Brazil after being falsely diagnosed with COVID-19; video shows his rescue., Aos Fatos
5/26/2020," Spain, South America, North America, Central America",FALSE,The United Nations are promoting a website with a political and economic project called “New World Order”., EFE Verifica
5/26/2020," Ireland, Italy",FALSE,Italy wants to charge Bill Gates with crimes against humanity., TheJournal.ie
5/26/2020, Brazil,FALSE,"Video shows police officer shooting a surfer who disregards isolation measures in Fortaleza, capital of the Brazilian state of Ceará.", Aos Fatos
5/26/2020, Colombia,FALSE,The Colombian city of Manizales had “its highest development peaks” after world wars., Colombiacheck
5/26/2020," United States, Canada",Misleading,"An image shared on social media claims vaccines are dangerous because they contain potassium chloride, the chemical used to stop the heart in lethal injections.", AFP
5/26/2020, Myanmar,FALSE,Cannabis can cure COVID-19., FactCrescendo
5/26/2020, United States,Mostly FALSE,"Says the state “health secretary says don’t go to hospitals or clinics, now the tourism secretary says don’t recreate.”", PolitiFact
5/25/2020, India,FALSE,"Due to the COVID-19 outbreak, Central Govt. has started the online processing of GST Refund.", Vishvas News
5/25/2020, Brazil,FALSE,"Brazilian states receive a R$ 16,450 extra funding from the federal government for each COVID-19 death.", Agência Lupa
5/25/2020, Brazil,FALSE,"Brahma Bar, one of São Paulo’s most famous bars, is going to close after going bankrupt during the pandemic.", Agência Lupa
5/25/2020, Brazil,FALSE,A video shows a group of police officers saluting anti-lockdown protesters in São Paulo., Agência Lupa
5/25/2020, Italy,FALSE,"A WhatsApp message claiming that “COVID-19” would be an acronym for a program aimed at reducing the world’s population, with the aid of Artificial Intelligence. The program would have been presented at the World Economic Forum 2020, in Davos (Switzerland).", Facta
5/25/2020, India,FALSE,"Video shows a doctor claiming that If you can hold your breath for 10 sec without discomfort, you don’t have coronavirus.", FactCrescendo
5/25/2020, India,FALSE,COVID-19 is a bacteria causing death due to thrombosis., FactCrescendo
5/25/2020," Spain, United States",FALSE,"A poem signed by K. O’Meara beginning with the verse “and the people stayed at home”, supposedly written “about 220 years ago”, during the plague epidemic in 1800.", Maldita.es
5/25/2020, Argentina,FALSE,"Images of a protest in Villa Azul, Argentina, against the quarantine.", Chequeado
5/25/2020, United States,FALSE,"“[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker, and did.”", PolitiFact
5/25/2020, United States,FALSE,"Autopsies performed in Italy showed that COVID-19 is not pneumonia, but a blood clotting disorder (disseminated intravascular coagulation). Doctors have been treating COVID-19 wrongly, because ventilators and intensive care units were never needed; COVID-19 should instead be treated with antibiotics, anti-inflammatories and anticoagulants.", Science Feedback
5/25/2020, India,FALSE,Mumbai policewoman felt dizzy and fell down as she tested positive for COVID-19., BOOM FactCheck
5/25/2020, Italy,FALSE,A study shows that COVID-19 asymptomatics are not contagious., Open
5/25/2020, India,FALSE,Migrants in isolation in India threw away food because it was cooked by a Dalit cook., Vishvas News
5/25/2020, India,FALSE,People in Saudi Arabia thronged store after lockdown was lifted., Vishvas News
5/25/2020, India,FALSE,Mumbai Police congratulated a couple for marrying inside their house amidst the coronavirus lockdown., BOOM FactCheck
5/25/2020, United States,FALSE,COVID-19 is a bacterium that is easily treated with aspirin or a coagulant., FactCheck.org
5/25/2020, United States,FALSE,A study of 455 contacts of an asymptomatic carrier showed that none of the 455 were infected. The results prove that asymptomatic people cannot transmit COVID-19 and masks are therefore unnecessary. Some also claim that this shows COVID-19 is not contagious., Science Feedback
5/25/2020," Egypt, Jordan, Tunisia",FALSE,Italian doctor accuse WHO of misleading the world about COVID-19 as COVID-19 is caused by bacteria not virus., Fatabyyano
5/25/2020," Hong Kong, China",Misleading,"A quote supposedly from Plato on freedom of speech went viral in China in February after the death of Li Wenliang, a medical doctor in Wuhan who tried to alert others to the coronavirus threat late last year. The same quote again became popular in Hong Kong in May, attributing it to Plato as well.", Annie Lab
5/25/2020," Spain, Argentina",FALSE,"The World Health Organization began in May to discourage the use of masks in public spaces, concluding that the coronavirus is not transmitted by air.", EFE Verifica
5/25/2020, Portugal,FALSE,Thermal water treatments cure people infected with COVID-19., Poligrafo
5/25/2020, Spain,FALSE,A pavilion will be opened in Fraga (Huesca) due to an increase in the number of COVID-19 cases., Newtral.es
5/25/2020, Guatemala,Misleading,"The radio station Sonora announced in a program that the President of Guatemala, Alejandro Giammattei, would close the country for 15 days. The audio began to circulate on WhatsApp and went viral.", Agencia Ocote
5/25/2020, China,Misleading,"Social media commentaris claim a murder of a 37-year-old Chinese researcher studying COVID-19 at the University of Pittsburgh in early May could be a cover-up as he was about to reveal important findings, possibly the U.S. origin of the coronavirus.", Annie Lab
5/25/2020, Canada,FALSE,"Facebook and Instagram posts shared thousands of times claim that vaccines directly violate the Nuremberg Code, a set of research ethics principles for human experimentation established after World War II.", AFP
5/25/2020," Taiwan, Thailand",FALSE,"Photos of lung show four stages of pneumonia, along with the descriptions of symptoms of each stage.", Taiwan FactCheck Center
5/25/2020, Japan,FALSE,The situation in Tokyo remains critical with utilization rate of hospital beds as of May 11th at 91%., INFACT
5/25/2020, Belgium,FALSE,Several posts on social media and online articles claim that COVID-19 is caused by a bacterium and can be treated with aspirin and blood thinners., Factcheck.Vlaanderen
5/25/2020, Mexico,FALSE,"Consuming 3 times a day a mixture of the juice of 10 lemons, honey, ginger, onion and 10 garlic cloves is the recipe that “prevents the coronavirus” and helps “recover from the virus”.", Animal Político
5/25/2020, India,FALSE,Thrombosis is the main cause of death for COVID-19 patients. Antibiotics can treat coronavirus patients., India Today
5/25/2020, Singapore,FALSE,"A video has been viewed tens of thousands of times in multiple posts on Facebook, Twitter and YouTube alongside a claim it shows police in India beating a man to death after he violated a nationwide coronavirus lockdown by “venturing out for food”.", AFP
5/25/2020, Germany,No evidence:,A meme on Facebook shows the number of currently infected people in the German states in percent., Correctiv
5/25/2020," Sweden, United States",FALSE,An warning that a contact tracing app in Sweden that was secretly tracking friends and contacts of its users., Källkritikbyrån
5/25/2020," Bosnia and Herzegovina, Serbia",Misleading,Montenegro is targeting Serbian citizens; as it reopens borders post COVID-19 restrictions to all except Serbian nationals., Raskrinkavanje
5/24/2020, Spain,FALSE,Coronavirus multiplies in sewage and pouring bleach in the sewage water would help., Newtral.es
5/24/2020, Argentina,FALSE,"Axel Kicillof (Governor of the Province of Buenos Aires): 80 days after the first case, Argentina has 10,000 cases; Chile, 60 thousands and Brazil, 200 thousands.", Chequeado
5/24/2020, Turkey,PARTLY FALSE,"The video shows a man kissing a bat in a cave in Bursa, Turkey, regardless of the coronavirus.", Teyit
5/24/2020, Italy,FALSE,A video claiming that the Immuni app (the contact tracing application sponsored by the Italian government) is already operative and it has been installed and activated on people’s smartphones automatically., Facta
5/24/2020, Colombia,FALSE,"A nurse from the city of Bucaramanga, Colombia, was attacked with stones by people who said she was going to infect them with COVID-19.", Colombiacheck
5/24/2020, India,FALSE,Indian government is giving 5000 rupees as relief funds for every citizen during the lockdown., BOOM FactCheck
5/24/2020, United States,FALSE,A photo shows Gov. Gretchen Whitmer “on Mackinaw Island today ignoring mask and social distancing rules.”, PolitiFact
5/24/2020, Brazil,FALSE,Video shows brazilian military police officers saluting protesters against isolation measures in São Paulo., Aos Fatos
5/24/2020, Ukraine,FALSE,PCR tests cannot detect a new coronavirus., VoxCheck
5/24/2020, Philippines,FALSE,"COVID-19, the disease caused by the novel coronavirus, is a form of bacteria that can be cured by aspirin.", Rappler
5/24/2020, Indonesia,FALSE,"Multiple posts shared thousands of times on Facebook, Twitter and YouTube claim that salt is an effective remedy against the novel coronavirus.", AFP
5/24/2020, Japan,FALSE,There were “only 48” PCR tests in Tokyo on May 19th., INFACT
5/24/2020, Philippines,FALSE,Mulitple Facebook posts shared thousands of times claim the Italian health ministry has discovered COVID-19 is caused by bacteria. The posts go on to claim the health ministry discovered COVID-19 is exacerbated by 5G technology and can be cured using painkillers and antibiotics., AFP
5/24/2020, Ukraine,Misleading,Ukrainians over 60 will not be allowed to work anymore. They should be under lockdown., VoxCheck
5/24/2020, Ghana,FALSE,Facebook user suggests that confirmed cases are suspected cases of COVID-19 whereas those declared positive are people who actually have the novel coronavirus., Dubawa
5/24/2020, France,FALSE,"Because of the coronavirus economic crisis, Adidas went into bankruptcy.", Les Décodeurs
5/23/2020, Philippines,FALSE,Prolonged use of face masks causes hypoxia., VERA Files
5/23/2020, Philippines,FALSE,A photo shows a baby named Kyle who was recently diagnosed with COVID-19 after getting open-heart surgery five days after being born., VERA Files
5/23/2020, Philippines,FALSE,Foo Fighters frontman Dave Grohl was diagnosed with COVID-19., VERA Files
5/23/2020," Spain, United States",FALSE,An image of a cactus-shaped antenna claiming that it is a 5G antenna and that they hide them so that “people do not realize that they are radioactive and emit electromagnetic frequency waves”., Maldita.es
5/23/2020, India,FALSE,Video shows Dean of Kasturba Hospital telling gargling with salt water kills coronavirus., FactCrescendo
5/23/2020, India,FALSE,Video shows migrants vandalizing public property in Surat during the COVID-19 lockdown., FactCrescendo
5/23/2020, India,FALSE,"Video shows a large crowd in the marketplace at Muhammad Ali road, Mumbai, violating lockdown.", FactCrescendo
5/23/2020, India,FALSE,Video shows women shopping in Delhi’s market during lockdown., Vishvas News
5/23/2020, India,FALSE,"Video shows a large crowd in the marketplace at Muhammad Ali road, Mumbai violating current COVID-19 lockdown in India.", FactCrescendo
5/23/2020, India,FALSE,Video shows migrants staying in quarantine facilities in India refused to eat the food because it was cooked by a Dalit woman (low-caste group)., FactCrescendo
5/23/2020, Philippines,FALSE,A video shared on Facebook showed the current situation in China as it battles the second wave of coronavirus infections., Rappler
5/23/2020, Colombia,FALSE,"The mayor of the municipality of Socorro, in Santander, Colombia, was arrested for manipulating contracts in the midst of the coronavirus pandemic.", Colombiacheck
5/23/2020, India,FALSE,RSS (a right-wing group in India) chief Mohan Bhagwat said that coronavirus has shaken his belief in religion., BOOM FactCheck
5/23/2020, Italy,Misleading,A video which would show a “desperate mother” who lost everything during the pandemic., Facta
5/23/2020, France,FALSE,The chloroquine study published in the Lancet cost 50 million dollars., CheckNews
5/23/2020," Kazakhstan, Kyrgyzstan",FALSE,Horse meat infected with coronavirus is imported to Kazakhstan from Kyrgyzstan., Factcheck.kz
5/23/2020, India,FALSE,"The experts at Nanavati Hospital are giving four common treatments to all patients: Vitamin C, dry ginger, turmeric and steam.", Newschecker
5/23/2020, India,FALSE,People in USA march and call for the arrest of Bill Gates., Newschecker
5/23/2020, Tanzania,FALSE,182 truck drivers who had tested positive for COVID-19 in Kenya were re-tested and found to be negative in Tanzania., PesaCheck
5/23/2020, Kenya,FALSE,Aspirin cures COVID-19., PesaCheck
5/23/2020, South Africa,FALSE,Facebook posts shared hundreds of times in South Africa claim that criminals posing as government officials are going around to people’s homes and distributing face masks that are laced with chemicals to knock them out and rob them., AFP
5/23/2020, Russia,Misleading,Russia raises the image of Christ to help it ending the pandemic., Misbar
5/23/2020, India,FALSE,"The experts at Nanavati Hospital are giving four common treatments to all patients: Vitamin C, dry ginger, turmeric and steam.", Newschecker
5/23/2020, India,FALSE,People in USA march and call for the arrest of Bill Gates., Newschecker
5/22/2020," Spain, United States",FALSE,"A video from the American news channel Fox News in which the presenter says that the President of the United States, Donald Trump, has tested positive on COVID-19 after taking a test.", Maldita.es
5/22/2020, Ghana,FALSE,"95 coronavirus deaths recorded in Ghana and total confirmed coronavirus cases jump to 6,989 on May 22.", GhanaFact
5/22/2020," Ireland, North America",FALSE,The survival rate for COVID-19 is over 99.9%., TheJournal.ie
5/22/2020, Ireland,FALSE,People with COVID-19 have been misdiagnosed as having pneumonia and have been dying of thrombosis, TheJournal.ie
5/22/2020, Argentina,FALSE,A post of Cronica with statements by the President of Sweden on the Argentinian Government., Chequeado
5/22/2020, Colombia,FALSE,An image of a doctor who found the cure for the coronavirus., La Silla Vacía
5/22/2020, Guatemala,Misleading,"The President of Guatemala, Alejandro Giammattei assured that the case-fatality rate of the COVID-19 pandemic in the country was one third of that of the world.", Agencia Ocote
5/22/2020, Guatemala,Misleading,"A video is circulating on social networks showing an alleged death in Chiquimula, Guatemala.", Agencia Ocote
5/22/2020, Paraguay,FALSE,Lactancy is not recommended because of risks to COVID-19 transmission from mother to child., El Surtidor
5/22/2020, Paraguay,FALSE,“Paraguay is the only Latin American country where virtual education is free during the pandemic”., El Surtidor
5/22/2020, United States,FALSE,"President Donald Trump tweeted, “Some oldies will have to die. We’re in God’s hands, folks! Liberate America!”", Check Your Fact
5/22/2020, Spain,FALSE,Italy found the cure to the coronavirus and the illness is due to 5G., Newtral.es
5/22/2020, Brazil,FALSE,A Spanish study with 60 thousand subjects proved that lockdown policies are ineffective., Agência Lupa
5/22/2020, Ukraine,FALSE,"People knew about coronavirus even in 2003. However, unlike today, there was no panic, fines, or quarantine back then.", VoxCheck
5/22/2020, Brazil,Misleading,Brazilian state of Minas Gerais has fewer deaths than São Paulo even though it has not adopted quarantine measures., Aos Fatos
5/22/2020, Italy,FALSE,Flu shots are contaminated with dogs’ coronaviruses., Open
5/22/2020, Italy,Misleading,Cannabis could help prevent coronavirus infection., Open
5/22/2020, United States,FALSE,A photo shows three men on crosses who “feel like they’re being crucified by being required to stay at home.”, PolitiFact
5/22/2020, India,FALSE,Sloth bear seen in a house garden in Sri Lanka during the COVID-19 lockdown., Vishvas News
5/22/2020, Spain,FALSE,A video shows a fight to get seating on the terrace of a bar in Spain under the state of alarm., EFE Verifica
5/22/2020, United States,FALSE,"Dolores Cahill claims in an interview on TheHighWire that there is already a preventive strategy and treatment for COVID-19 through “nutrition, vitamins and hydroxychloroquine”, therefore social distancing is unnecessary.", Science Feedback
5/22/2020, Indonesia,FALSE,Video of a lockdown lifting celebration in Saudi Arabia., TEMPO
5/22/2020, Indonesia,Misleading,COVID-19 is harmless and does not cause death., TEMPO
5/22/2020, North Macedonia,FALSE,Text claims that the North Macedonian Minister of Health Venko Filipce at a press conference held that day (21 May 2020) said that the patients infected with COVID-19 may have to pay a fee (co-payment) for hospital treatment., Vistinomer
5/22/2020, India,FALSE,"People in the city of Mumbai, India are not following social distancing, and have gone outside their homes to shop for the festival of Eid.", BOOM FactCheck
5/22/2020," Bosnia and Herzegovina, Croatia, Serbia",FALSE,"Dr. Vele Markovski claimd that ventilators and quarantines are doing great harm in treating coronavirus, and that contamination level of SAR-Cov-2 is extremely low", Raskrinkavanje
5/22/2020, India,FALSE,People living in quarantine centre refuse to eat food as it was cooked by lower caste women., Newschecker
5/22/2020," Canada, France",FALSE,There is a link betweek 5G networks and COVID-19., Détecteur de rumeurs
5/22/2020, Kenya,FALSE,5G wireless technology created the COVID-19 pandemic., PesaCheck
5/22/2020, Mali,FALSE,20% of human volunteers for the test for a COVID-19 vaccine developed by Moderna have suffered serious adverse effects., PesaCheck
5/22/2020, Ethiopia,FALSE,Maroole Online Forum website claiming that 14 of the 25 confirmed cases of COVID-19 announced on May 7 are Oromo political prisoners., PesaCheck
5/22/2020, Kenya,FALSE,Lesotho has launched a COVID-19 remedy., PesaCheck
5/22/2020, India,FALSE,People in Jama Masjid market breaking Indian COVID-19 lockdown due to Eid., Vishvas News
5/22/2020, Egypt,FALSE,"Starting on May 20 this year, the Egyptian Minister of Health has placed herself in measures to isolate herself at home, as a result of suspected infection with the novel coronavirus.", Misbar
5/22/2020, Morocco,Misleading,A team of experts and scientists from the Faculty of Medicine in Rabat announce that a vaccine for Covid-19 is coming soon., Misbar
5/22/2020, Saudi Arabia,FALSE,The outbreak of the novel coronavirus pandemic in Saudi Arabia will end on the 5th of Shawwal (June 2 2020)., Misbar
5/22/2020, India,FALSE,People living in quarantine centre refuse to eat food as it was cooked by lower caste women., Newschecker
5/21/2020, Lithuania,FALSE,A video on Youtube claims that European Commission’s implementing regulation (EU) 2020/666 gives ways to implant microchips to humans in the EU. The theory is linked to mass vaccination that “surely awaits” after the pandemic will receed., 15min.lt
5/21/2020, Spain,FALSE,The prolonged use of masks can cause hypoxia., Newtral.es
5/21/2020, Spain,FALSE,Decreeing the state of alarm because of Covid until June 30 would extend it throughout the summer., Newtral.es
5/21/2020, Brazil,FALSE,The Federal Government created voucher for poor people to buy gas canisters during the COVID-19 pandemic. This message was shared on WhatsApp with a link to the alledged online form people need to fill out to be eligible for the benefit., Agência Lupa
5/21/2020, Brazil,FALSE,"A video show a corridor of healthcare professionals turning their backs to a passing car. On the subtitles, it says they were protesting against Bruno Covas, mayor of São Paulo.", Agência Lupa
5/21/2020, Brazil,FALSE,"The son of William Bonner, one of Brazil’s most well known anchorman, received a R$ 600 COVID-19 emergency allowance, destined to the poor, despite being the son of a wealthy man.", Agência Lupa
5/21/2020, Brazil,FALSE,"Chloroquine was invented by Gaspar Vianna, a scientist from Pará, Brazil.", Agência Lupa
5/21/2020, Brazil,FALSE,"99% of all COVID-19 patients in Itaperuna, Rio de Janeiro state, have been cured after being treated with chloroquine.", Agência Lupa
5/21/2020, Argentina,FALSE,A post about the doctor Marcos Vargas of the Santojanni Hospital died from treating patients with coronavirus., Chequeado
5/21/2020, India,FALSE,Muslims flouting social distancing norms in Hyderabad., The Quint
5/21/2020, Italy,FALSE,A blog article stating that the WHO paid the president of Madagascar to “poison the cure for coronavirus”., Facta
5/21/2020, India,FALSE,Video shows police forces beating a man on roadside during lockdown., Vishvas News
5/21/2020, India,FALSE,"To talk to India’s main opposition party (Congress) former president Rahul Gandhi, the Congress had hired people dressed as migrants who are facing trouble to travel to their homes amidst the coronavirus lockdown.", BOOM FactCheck
5/21/2020, India,FALSE,"People in the city of Hyderabad, India are not following social distancing, and have gone outside their homes to shop for the festival of Eid.", BOOM FactCheck
5/21/2020, Portugal,FALSE,The COVID-19 pandemic “was set up in a meeting” in 2019 sponsored by the Bill & Melinda Gates Foundation., Poligrafo
5/21/2020, Italy,FALSE,"A picture quotes pharmacist Stefano Montanari saying that wearing protective masks would make people breathe excessive levels of carbon dioxide, leading to respiratory acidosis and cancer.", Facta
5/21/2020, Italy,Misleading,A blog article which says that the Italian doctors and experts in charge of the coronavirus emergency are the least respected ones in the international scientific community., Facta
5/21/2020, Ireland,FALSE,COVID-19 is being listed as the cause of death for people who did not have the illness when they died in Ireland., TheJournal.ie
5/21/2020, Colombia,FALSE,"In 2003, the media talked about the coronavirus and we already have a cure for the virus.", La Silla Vacía
5/21/2020, India,FALSE,Member of Indian parliament Rahul Gandhi hired actors to act as migrants who he was helping during the COVID-19 lockdown., BOOM FactCheck
5/21/2020, United States,FALSE,"Myrtle Beach, South Carolina, reported 220,000 new coronavirus cases in 72 hours.", Check Your Fact
5/21/2020, United States,FALSE,Japanese Nobel laureate Dr. Tasuku Honjo said the new coronavirus was engineered in a Chinese laboratory., Check Your Fact
5/21/2020, Netherlands,FALSE,Facebook allegedly removed a video criticizing Dutch social distancing rules., Nieuwscheckers
5/21/2020, Turkey,FALSE,A photo shows a Turkish MP wearing knitted mask in the Turkish parliement., Teyit
5/21/2020, Colombia,FALSE,Colombia ranks first in corruption in the middle of the coronavirus pandemic., Colombiacheck
5/21/2020, Mexico,FALSE,"Pathogenic viruses do not exist, as the German biologist Stefan Lanka proved in front of a court.", Animal Político
5/21/2020, West Africa,FALSE,Madagascar is leaving World Health organisation and encourages other countries to do so., AFP
5/21/2020, Brazil,FALSE,Worldwide research shows that hydroxychloroquine is the most effective drug against COVID-19., Aos Fatos
5/21/2020, Brazil,FALSE,Son of brazilian anchor Willian Bonner requested and received COVID-19 emergency aid of R $ 600., Aos Fatos
5/21/2020, India,FALSE,Bill Gates and Anthony Fauci seen walking in close proximity without mask during the coronavirus pendemic., Vishvas News
5/21/2020," Lebanon, Saudi Arabia",FALSE,There is nothing called “coronavirus” and it is just a hoax to pass Bill Gates’s vaccine., Fatabyyano
5/21/2020, Georgia,FALSE,Georgian doctor created medicine Corvirant which treats coronavirus., Myth Detector
5/21/2020, Portugal,FALSE,Wearing a mask during physical activity causes hypercapnia syndrome., Poligrafo
5/21/2020, Portugal,FALSE,The COVID-19 pandemic “was combined at a meeting” in 2019 sponsored by the Bill & Melinda Gates Foundation., Poligrafo
5/21/2020, Lithuania,FALSE,"Claims infrared thermometers to measure temperature of potentially infected with COVID-19 are hazardous, since they damage the so called “Third eye”.", Delfi Melo Detektorius (Lie Detector)
5/21/2020, Lithuania,FALSE,Lithuanian parliament member said that there are some very serious reasons to believe that virus was made artificialy in a laboratory and everything is related to Gates and other millionaires plan to create artificial virus just to sell vaccines afterwards., Delfi Melo Detektorius (Lie Detector)
5/21/2020, Latvia,FALSE,The use of face masks increases the risk of developing COVID-19., Re
5/21/2020, Georgia,FALSE,Claim that official data show that there were more deaths in Italy in 2019 than in 2020., FactCheck Georgia
5/21/2020, Nigeria,Misleading,A viral video shared on multiple social media platforms shows a woman outside a US store making several misleading claims about the use of face masks including that they do not protect from COVID-19 and that their use makes you sick., AFP
5/21/2020, India,FALSE,"Video shows an overcrowded Madina market in Hyderabad, India, where people are shopping for Eid.", India Today
5/21/2020, Kenya,FALSE,"Kenyan First Lady Margaret Kenyatta is giving out Ksh30,000 grants to help Kenyans during the COVID-19 pandemic.", PesaCheck
5/21/2020," Kenya, South Sudan, East Africa",FALSE,"South Sudan President Salva Kiir and his first deputy Riek Machar recently became targets of tit-for-tat claims on Facebook alleging they had flown to foreign countries for COVID-19 treatment. For four days, rumours about the two men — bitter rivals since the 2013 civil war — flew thick and fast on social media.", AFP
5/21/2020, Belgium,Misleading,"A celebration in Belgium of the Tunisian doctor, Mohamed Mourad, after recovering from the novel coronavirus, which he contracted while working at a hospital in Brussels.", Misbar
5/20/2020, Philippines,FALSE,Wuhan has imposed a second lockdown after a resurgence of COVID-19 cases., VERA Files
5/20/2020, Philippines,Partly FALSE,Japan is suffering a second wave of COVID-19 cases after lifting quarantine measures., VERA Files
5/20/2020, United States,FALSE,“Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA”., PolitiFact
5/20/2020, India,FALSE,Fox News Report on US President Trump testing positive for COVID-19., FactCrescendo
5/20/2020, France,FALSE,French champion of chloroquine Didier Raoult is leaving France to teach in China., CheckNews
5/20/2020, Indonesia,Misleading,Video and photo show that Indonesian President Jokowi attended a concert during the COVID-19 Pandemic, TEMPO
5/20/2020, United States,FALSE,Top White House coronavirus adviser Dr. Anthony Fauci served on the Clinton Foundation’s board of directors for 20 years., Check Your Fact
5/20/2020, United States,FALSE,The image shows Los Angeles County Department of Public Health Director Dr. Barbara Ferrer looking sickly., Check Your Fact
5/20/2020, United States,FALSE,People who have received flu vaccines in the past three to five years will “probably test positive” for COVID-19., Check Your Fact
5/20/2020, Italy,FALSE,"A blog article stating that COVID-19 has been misdiagnosed, as the deaths would be caused by problems linked with thrombosis in the first place. According to the article, the two scientists who discovered this have received an “international prize”", Facta
5/20/2020, Italy,FALSE,A Whatsapp message stating that Ikea is giving out €250 gift cards for free., Facta
5/20/2020, United Kingdom,FALSE,German police can enter homes and forcibly vaccinate people., Full Fact
5/20/2020, United Kingdom,FALSE,Hydroxychloroquine cures COVID-19., Full Fact
5/20/2020, Brazil,FALSE,Video shows health professionals turning their backs on the mayor of the city of São Paulo., Aos Fatos
5/20/2020, Brazil,FALSE,Brazil has a 99.995% COVID-19 survival rate., Aos Fatos
5/20/2020, Brazil,FALSE,"After resigning from his post as Minister of Health, Nelson Teich said he could not work with Jair Bolsonaro because he couldn’t work with someone who put his own mediocrity and ignorance before science.", Agência Lupa
5/20/2020, Brazil,FALSE,The Brazilian mainstream media did not say anything after former president Lula said “fortunately nature created this monster called coronavirus”., Agência Lupa
5/20/2020, Brazil,FALSE,"João Doria, governor of São Paulo, said people need to choose between “lockdown or food” in an interview on Brasil Urgente, a national TV show.", Agência Lupa
5/20/2020, India,FALSE,RSS chief Mohan Bhagwat said he has lost faith in religion due to coronavirus pandemic., FactCrescendo
5/20/2020, India,FALSE,A family friend of prominent playwright Ratnakar Matkari said he was infected with coronavirus through outside mild packages., FactCrescendo
5/20/2020, India,FALSE,US President Donald Trump tested positive for coronavirus., FactCrescendo
5/20/2020, India,FALSE,The Indian Council of Medical Research (ICMR) has issued guidelines about the post-lockdown phase., FactCrescendo
5/20/2020, India,FALSE,"A doctor from Kasturba Hospital suggested to not wear masks all the time because otherwise, it could cause death.", FactCrescendo
5/20/2020, India,FALSE,Mall in Saudi Arabia is crowded after the lockdown has been lifted., The Quint
5/20/2020, India,FALSE,RSS Chief Mohan Bhagwant’s said that COVID-19 shook his faith in religion., Vishvas News
5/20/2020, Portugal,FALSE,"No one died from COVID-19, but due to other previous illnesses, says a German doctor.", Poligrafo
5/20/2020, India,FALSE,Video claiming news channel Fox News reported that Donald Trump has tested positive for COVID-19., BOOM FactCheck
5/20/2020, Philippines,FALSE,The Philippines was the first country to declare a lockdown in Southeast Asia., VERA Files
5/20/2020, Portugal,FALSE,A post says that a bottle of alcohol gel left in a car caused a fire that damaged one of its doors., Observador
5/20/2020, Turkey,FALSE,"A photo shows the a Turkish imprisoned COVID-19 patient, who is in intensive care unit.", Teyit
5/20/2020, Turkey,FALSE,The very first detailed report shows Turkey’s coronavirus outbreak was published in NEJM., Teyit
5/20/2020," Ukraine, United States",FALSE,Moderna’s COVID-19 vaccine is dangerous., VoxCheck
5/20/2020," Ukraine, United States",FALSE,"A microphone accidentally turned on in the White House recorded a discussion between journalists, revealing the whole truth about the new coronavirus.", VoxCheck
5/20/2020, Peru,FALSE,A WhatsApp message claims that Italy announced the cure for COVID-19., OjoPúblico
5/20/2020, Colombia,FALSE,The WHO said that Colombia is the most organized country in the prevention of coronavirus in America or the second in the world., Colombiacheck
5/20/2020, Brazil,FALSE,"Doctors give their backs to São Paulo’s mayor, Bruno Covas, as protest against quarantine measures.", Estadão Verifica
5/20/2020, Ukraine,FALSE,The first test results for the Moderna vaccine are disappointing., VoxCheck
5/20/2020, Germany,mostly FALSE,Bill Gates admitted that he wants to vaccinate everyone because he makes 2000 percent profit with vaccines., Correctiv
5/20/2020, Venezuela,FALSE,Amazon is delivering economic help in Venezuela because of the pandemic spread of COVID-19., Efecto Cocuyo
5/20/2020, United States,FALSE,"Michigan Gov. Gretchen Whitmer’s family spent May 20 at her second home, breaking her own stay-at-home orders.", PolitiFact
5/20/2020, India,FALSE,Indian Prime Minister Narendra Modi was appointed as a chairman of WHO., Vishvas News
5/20/2020, Georgia,FALSE,EUMM (European Union Monitoring Mission) is collecting biologial materials for dangerous experiments in the Lugar Lab alongside South Ossetian border. This is provied by the photos of medical car accompanying the mission patrols., Myth Detector
5/20/2020," North Macedonia, Greece",FALSE,Text claims that a family of four from North Macedonia should pay 680 euros for coronavirus tests if they want to travel to Greece., Vistinomer
5/20/2020, North Macedonia,Misleading,"Claim that two-week isolation measures do not apply to North Macedonian President Stevo Pendarovski as they do to the leaders of SDSM and VMRO-DPMNE, Zoran Zaev and Hristijan Mickoski, after they were in contact with a journalist positive to coronavirus.", Vistinomer
5/20/2020, United States,FALSE,Michigan governor reopened Traverse City “so she could have her daughter’s open house.”, PolitiFact
5/20/2020, India,FALSE,The President of the United States of America Donald Trump has been tested positive for COVID-19., Newschecker
